vehicle_make,vehicle_model,vehicle_mileage,vehicle_wheel,vehicle_type,vehicle_cylinder,vehicle_year,vehicle_fuel,vehicle_spec,vehicle_dealer,vehicle_price
BMW,750,45000,20,Sedan,8,2017,Gasoline,Import,Road Star Motors FZCO,166000
BMW,X5,87000,20,SUV/Crossover,6,2019,Gasoline,GCC,Leader Automobile L.L.C,225000
Tesla,X,42000,20,SUV/Crossover,None - Electric,2020,Electric,GCC,Kandy Cars,345000
Lexus,LX 600,2600,22,SUV/Crossover,6,2022,Gasoline,GCC,Atlantis Motors FZE,600000
Mercedes-Benz,GLE 53,18000,21,Coupe,8,2022,Gasoline,GCC,Atlantis Motors FZE,435000
Land Rover,Defender,21500,22,SUV/Crossover,8,2023,Gasoline,GCC,Alo Cars,495000
Mercedes-Benz,AMG GT 63,16000,21,Sedan,8,2019,Gasoline,Import,Alo Cars,580000
Lamborghini,Urus,20147,23,SUV/Crossover,8,2022,Gasoline,GCC,Alo Cars,1300000
Land Rover,Range Rover Autobiography,91671,22,SUV/Crossover,8,2018,Gasoline,GCC,Alo Cars,305000
Mercedes-Benz,G 63 AMG,3143,22,SUV/Crossover,8,2023,Gasoline,Import,BRWA AHMED AUTO.EXB,950000
Land Rover,Range Rover Velar,161000,18,SUV/Crossover,6,2018,Gasoline,GCC,Fawaz Sukar Cars - Sharjah,172000
Mercedes-Benz,E 63 AMG,145000,18,Sedan,8,2018,Gasoline,GCC,Fawaz Sukar Cars - Sharjah,259000
Dodge,Charger,136000,21,Sedan,8,2019,Gasoline,GCC,Ahmad Al Khodari Used Cars Exhb L.L.C,209000
Lexus,LX 570,46600,21,SUV/Crossover,8,2019,Gasoline,Import,Dubai 2000,320000
Chevrolet,Tahoe,9800,21,SUV/Crossover,8,2022,Gasoline,GCC,Tabarak auto used cars trading,245000
Hyundai,Accent,88209,15,Sedan,4,2020,Gasoline,GCC,Swaidan Motors,42900
Toyota,Fortuner,94154,17,SUV/Crossover,6,2021,Gasoline,GCC,Swaidan Motors,124900
Nissan,Patrol,67195,18,SUV/Crossover,6,2017,Gasoline,GCC,Swaidan Motors,124900
Nissan,Patrol,95741,18,SUV/Crossover,8,2017,Gasoline,GCC,Swaidan Motors,149900
Jeep,Gladiator,48581,20,Pick Up Truck,6,2021,Gasoline,Import,Al Faris Used Car TR,175000
Ford,Eco Sport,104592,16,Hatchback,4,2019,Gasoline,GCC,Vesla Motors L.L.C,47800
Ford,Escape,87718,18,SUV/Crossover,4,2019,Gasoline,GCC,Vesla Motors L.L.C,68500
Nissan,Sunny,173665,15,Sedan,4,2019,Gasoline,GCC,Vesla Motors L.L.C,27900
Ford,Figo,96730,14,Sedan,4,2019,Gasoline,GCC,Vesla Motors L.L.C,27900
Ford,Transit,235034,17,Van,6,2017,Gasoline,GCC,Vesla Motors L.L.C,48800
Mercedes-Benz,S 63 AMG Coupe,11490,20,Convertible,8,2019,Gasoline,Import,Nova Luxury Cars Trading LLC,540000
Mercedes-Benz,S 400,30000,18,Sedan,6,2018,Gasoline,Import,Nova Luxury Cars Trading LLC,219000
Mercedes-Benz,C 300,34000,16,Coupe,4,2019,Gasoline,Import,Al Suraj Al Muneer Used Cars Exhibition,95000
Ford,Mustang,76855,20,Coupe,8,2019,Gasoline,Import,Wadishee used cars,92999
Land Rover,Range Rover Velar,29368,19,SUV/Crossover,6,2021,Gasoline,Import,Al Faris Used Car TR,255000
Mercedes-Benz,S 63 AMG Coupe,94000,20,Coupe,8,2017,Gasoline,Import,Private Seller,225000
Mercedes-Benz,S 560,46000,20,Sedan,8,2019,Gasoline,Import,Al Safwa Used Car Trading,229000
Bentley,Continental GTC,2797,22,Convertible,12,2022,Gasoline,Import,Story Auto Middle East FZE,1250000
Land Rover,Range Rover Sport,166000,22,SUV/Crossover,8,2017,Gasoline,Import,Prestige Used Cars Trading L.L.C,150000
BMW,540,10800,20,Sedan,6,2023,Gasoline,GCC,Abu Dhabi Motors - BMW,270000
